№,Улица (от),Дом (от),Широта (от),Долгота (от),Улица (до),Дом (до),Широта (до),Долгота (до),Длительность (сек)
108,Апрельская,5,30.416749,59.962967000000006,Пискаревский просп.,47,30.431328999999998,59.983422999999995,536.7777777777778
109,Апрельская,5,30.416749,59.962967000000006,Сестрорецк. ул. Борисова,д. 9,29.969890999999997,60.102212,2742.4444444444443
110,Апрельская,5,30.416749,59.962967000000006,Солидарности просп.,4,30.490114000000002,59.92828000000001,1085.7777777777778
111,Апрельская,5,30.416749,59.962967000000006,Учебный пер.,5,30.336763,60.037252,1748.5555555555557
112,Апрельская,5,30.416749,59.962967000000006,наб. реки Фонтанки,154,30.28255,59.915765,1581.2222222222222
113,Асафьева,12,30.328785999999997,60.04866,Аккуратова,2,30.301594,60.015377,1132.0
114,Асафьева,12,30.328785999999997,60.04866,Большой просп. ВО,85,30.250614000000002,59.930178000000005,2347.0
115,Асафьева,12,30.328785999999997,60.04866,Будапештская,3,30.36382,59.873704000000004,3441.0
116,Асафьева,12,30.328785999999997,60.04866,Вавиловых,14,30.390563,60.024752,1435.0
117,Асафьева,12,30.328785999999997,60.04866,Динамо пр.,3,30.279864,59.972699,1993.0
118,Асафьева,12,30.328785999999997,60.04866,Загородный просп.,47,30.321195,59.921804,2368.0
119,Асафьева,12,30.328785999999997,60.04866,Костюшко,2,30.295701,59.849212,3703.0
120,Асафьева,12,30.328785999999997,60.04866,Кузнецовская,25,30.332577,59.87143199999999,3213.0
121,Асафьева,12,30.328785999999997,60.04866,Литейный просп.,56,30.349456,59.935069999999996,2004.0
122,Асафьева,12,30.328785999999997,60.04866,Луначарского пр.,47,30.360164,60.036281,916.0
123,Асафьева,12,30.328785999999997,60.04866,Льва Толстого,6/8,30.321859999999997,59.965309,1709.0
124,Асафьева,12,30.328785999999997,60.04866,Мечникова пр.,27,30.410891999999997,59.986982999999995,1820.0
125,Асафьева,12,30.328785999999997,60.04866,Народная,21,30.468124,59.879137,2629.0
126,Асафьева,12,30.328785999999997,60.04866,Оптиков,54,30.199033,60.000713,2071.0
127,Асафьева,12,30.328785999999997,60.04866,Пискаревский просп.,47,30.431328999999998,59.983422999999995,2138.0
128,Асафьева,12,30.328785999999997,60.04866,Сестрорецк. ул. Борисова,д. 9,29.969890999999997,60.102212,2687.0
129,Асафьева,12,30.328785999999997,60.04866,Учебный пер.,5,30.336763,60.037252,874.0
130,Асафьева,12,30.328785999999997,60.04866,наб. реки Фонтанки,154,30.28255,59.915765,2689.0
131,Асафьева,12к1,30.328785999999997,60.04866,Аккуратова,2,30.301594,60.015377,1092.857142857143
132,Асафьева,12к1,30.328785999999997,60.04866,Большой просп. ВО,85,30.250614000000002,59.930178000000005,2349.0
133,Асафьева,12к1,30.328785999999997,60.04866,Будапештская,3,30.36382,59.873704000000004,3512.714285714286
