№,Улица (от),Дом (от),Широта (от),Долгота (от),Улица (до),Дом (до),Широта (до),Долгота (до),Длительность (сек)
116,Апрельская,5,30.416749,59.962967000000006,Литейный просп.,56,30.349456,59.935069999999996,1370.3333333333333
117,Апрельская,5,30.416749,59.962967000000006,Луначарского пр.,47,30.360164,60.036281,1646.7777777777778
118,Апрельская,5,30.416749,59.962967000000006,Льва Толстого,6/8,30.321859999999997,59.965309,1212.8333333333333
119,Апрельская,5,30.416749,59.962967000000006,Мечникова пр.,27,30.410891999999997,59.986982999999995,669.9444444444445
120,Апрельская,5,30.416749,59.962967000000006,Народная,21,30.468124,59.879137,1589.6666666666667
121,Апрельская,5,30.416749,59.962967000000006,Оптиков,54,30.199033,60.000713,1967.9444444444443
122,Апрельская,5,30.416749,59.962967000000006,Пискаревский просп.,47,30.431328999999998,59.983422999999995,536.0
123,Апрельская,5,30.416749,59.962967000000006,Сестрорецк. ул. Борисова,д. 9,29.969890999999997,60.102212,2931.4444444444443
124,Апрельская,5,30.416749,59.962967000000006,Солидарности просп.,4,30.490114000000002,59.92828000000001,1262.111111111111
125,Апрельская,5,30.416749,59.962967000000006,Учебный пер.,5,30.336763,60.037252,1856.6666666666667
126,Апрельская,5,30.416749,59.962967000000006,наб. реки Фонтанки,154,30.28255,59.915765,2298.277777777778
127,Асафьева,12,30.328785999999997,60.04866,Аккуратова,2,30.301594,60.015377,1194.4285714285713
128,Асафьева,12,30.328785999999997,60.04866,Большой просп. ВО,85,30.250614000000002,59.930178000000005,3862.714285714286
129,Асафьева,12,30.328785999999997,60.04866,Будапештская,3,30.36382,59.873704000000004,5861.571428571428
130,Асафьева,12,30.328785999999997,60.04866,Вавиловых,14,30.390563,60.024752,1495.5714285714287
131,Асафьева,12,30.328785999999997,60.04866,Динамо пр.,3,30.279864,59.972699,2704.5714285714284
132,Асафьева,12,30.328785999999997,60.04866,Загородный просп.,47,30.321195,59.921804,4638.571428571428
133,Асафьева,12,30.328785999999997,60.04866,Костюшко,2,30.295701,59.849212,6476.714285714285
