№,Улица (от),Дом (от),Широта (от),Долгота (от),Улица (до),Дом (до),Широта (до),Долгота (до),Длительность (сек)
120,Асафьева,12,30.328785999999997,60.04866,Кузнецовская,25,30.332577,59.87143199999999,3036.0
121,Асафьева,12,30.328785999999997,60.04866,Литейный просп.,56,30.349456,59.935069999999996,1882.5
122,Асафьева,12,30.328785999999997,60.04866,Луначарского пр.,47,30.360164,60.036281,974.0
123,Асафьева,12,30.328785999999997,60.04866,Льва Толстого,6/8,30.321859999999997,59.965309,1640.5
124,Асафьева,12,30.328785999999997,60.04866,Мечникова пр.,27,30.410891999999997,59.986982999999995,1812.0
125,Асафьева,12,30.328785999999997,60.04866,Народная,21,30.468124,59.879137,2644.0
126,Асафьева,12,30.328785999999997,60.04866,Оптиков,54,30.199033,60.000713,2001.0
127,Асафьева,12,30.328785999999997,60.04866,Пискаревский просп.,47,30.431328999999998,59.983422999999995,2104.5
128,Асафьева,12,30.328785999999997,60.04866,Сестрорецк. ул. Борисова,д. 9,29.969890999999997,60.102212,2673.5
129,Асафьева,12,30.328785999999997,60.04866,Учебный пер.,5,30.336763,60.037252,943.0
130,Асафьева,12,30.328785999999997,60.04866,наб. реки Фонтанки,154,30.28255,59.915765,2557.0
131,Асафьева,12к1,30.328785999999997,60.04866,Аккуратова,2,30.301594,60.015377,1022.3333333333334
132,Асафьева,12к1,30.328785999999997,60.04866,Большой просп. ВО,85,30.250614000000002,59.930178000000005,2211.5
133,Асафьева,12к1,30.328785999999997,60.04866,Будапештская,3,30.36382,59.873704000000004,3275.0
134,Асафьева,12к1,30.328785999999997,60.04866,Вавиловых,14,30.390563,60.024752,1420.6666666666667
135,Асафьева,12к1,30.328785999999997,60.04866,Динамо пр.,3,30.279864,59.972699,1826.5
136,Асафьева,12к1,30.328785999999997,60.04866,Загородный просп.,47,30.321195,59.921804,2215.1666666666665
137,Асафьева,12к1,30.328785999999997,60.04866,Костюшко,2,30.295701,59.849212,3535.0
138,Асафьева,12к1,30.328785999999997,60.04866,Кузнецовская,25,30.332577,59.87143199999999,3048.0
139,Асафьева,12к1,30.328785999999997,60.04866,Литейный просп.,56,30.349456,59.935069999999996,1896.8333333333333
140,Асафьева,12к1,30.328785999999997,60.04866,Луначарского пр.,47,30.360164,60.036281,932.5
141,Асафьева,12к1,30.328785999999997,60.04866,Льва Толстого,6/8,30.321859999999997,59.965309,1639.1666666666667
142,Асафьева,12к1,30.328785999999997,60.04866,Мечникова пр.,27,30.410891999999997,59.986982999999995,1764.6666666666667
143,Асафьева,12к1,30.328785999999997,60.04866,Народная,21,30.468124,59.879137,2599.0
144,Асафьева,12к1,30.328785999999997,60.04866,Оптиков,54,30.199033,60.000713,1972.8333333333333
145,Асафьева,12к1,30.328785999999997,60.04866,Пискаревский просп.,47,30.431328999999998,59.983422999999995,2186.1666666666665
146,Асафьева,12к1,30.328785999999997,60.04866,Сестрорецк. ул. Борисова,д. 9,29.969890999999997,60.102212,2647.6666666666665
147,Асафьева,12к1,30.328785999999997,60.04866,Учебный пер.,5,30.336763,60.037252,920.8333333333334
148,Асафьева,12к1,30.328785999999997,60.04866,наб. реки Фонтанки,154,30.28255,59.915765,2536.3333333333335
149,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Большой просп. ВО,85,30.250614000000002,59.930178000000005,2497.0
150,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Будапештская,3,30.36382,59.873704000000004,1763.5
151,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Вавиловых,14,30.390563,60.024752,2993.0
152,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Загородный просп.,47,30.321195,59.921804,1704.0
153,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Костюшко,2,30.295701,59.849212,1286.0
154,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Кузнецовская,25,30.332577,59.87143199999999,1212.5
155,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Литейный просп.,56,30.349456,59.935069999999996,2124.5
156,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Луначарского пр.,47,30.360164,60.036281,2930.5
157,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Льва Толстого,6/8,30.321859999999997,59.965309,2592.0
158,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Мечникова пр.,27,30.410891999999997,59.986982999999995,2305.5
159,Аэропорт Пулково-1,,30.273189000000002,59.800005000000006,Народная,21,30.468124,59.879137,1562.0
