№,Улица (от),Дом (от),Широта (от),Долгота (от),Улица (до),Дом (до),Широта (до),Долгота (до),Длительность (сек)
178,Бадаева,11,30.443114,59.920975,Оптиков,54,30.199033,60.000713,3087.75
179,Бадаева,11,30.443114,59.920975,Пискаревский просп.,47,30.431328999999998,59.983422999999995,1994.5
180,Бадаева,11,30.443114,59.920975,Сестрорецк. ул. Борисова,д. 9,29.969890999999997,60.102212,4009.125
181,Бадаева,11,30.443114,59.920975,Солидарности просп.,4,30.490114000000002,59.92828000000001,1090.25
182,Бадаева,11,30.443114,59.920975,Учебный пер.,5,30.336763,60.037252,3452.125
183,Бадаева,11,30.443114,59.920975,наб. реки Фонтанки,154,30.28255,59.915765,2703.25
184,Бармалеева,13,30.305735,59.964503,Большой просп. ВО,85,30.250614000000002,59.930178000000005,1022.0
185,Бармалеева,13,30.305735,59.964503,Будапештская,3,30.36382,59.873704000000004,3063.5
186,Бармалеева,13,30.305735,59.964503,Вавиловых,14,30.390563,60.024752,2091.875
187,Бармалеева,13,30.305735,59.964503,Динамо пр.,3,30.279864,59.972699,646.125
188,Бармалеева,13,30.305735,59.964503,Загородный просп.,47,30.321195,59.921804,2065.0
189,Бармалеева,13,30.305735,59.964503,Костюшко,2,30.295701,59.849212,3064.875
190,Бармалеева,13,30.305735,59.964503,Кузнецовская,25,30.332577,59.87143199999999,2924.5
191,Бармалеева,13,30.305735,59.964503,Литейный просп.,56,30.349456,59.935069999999996,1527.875
192,Бармалеева,13,30.305735,59.964503,Луначарского пр.,47,30.360164,60.036281,2472.875
193,Бармалеева,13,30.305735,59.964503,Льва Толстого,6/8,30.321859999999997,59.965309,476.125
194,Бармалеева,13,30.305735,59.964503,Мечникова пр.,27,30.410891999999997,59.986982999999995,1516.125
195,Бармалеева,13,30.305735,59.964503,Народная,21,30.468124,59.879137,2118.125
196,Бармалеева,13,30.305735,59.964503,Оптиков,54,30.199033,60.000713,1820.375
197,Бармалеева,13,30.305735,59.964503,Пискаревский просп.,47,30.431328999999998,59.983422999999995,1616.5
198,Бармалеева,13,30.305735,59.964503,Сестрорецк. ул. Борисова,д. 9,29.969890999999997,60.102212,2747.75
199,Бармалеева,13,30.305735,59.964503,Солидарности просп.,4,30.490114000000002,59.92828000000001,2484.125
200,Бармалеева,13,30.305735,59.964503,Учебный пер.,5,30.336763,60.037252,2287.125
201,Бармалеева,13,30.305735,59.964503,наб. реки Фонтанки,154,30.28255,59.915765,1683.625
202,Бассейная,83,30.349564,59.864548,Большой просп. ВО,85,30.250614000000002,59.930178000000005,2415.0
203,Бассейная,83,30.349564,59.864548,Будапештская,3,30.36382,59.873704000000004,734.25
204,Бассейная,83,30.349564,59.864548,Вавиловых,14,30.390563,60.024752,4022.125
205,Бассейная,83,30.349564,59.864548,Динамо пр.,3,30.279864,59.972699,3400.625
206,Бассейная,83,30.349564,59.864548,Загородный просп.,47,30.321195,59.921804,877.75
207,Бассейная,83,30.349564,59.864548,Костюшко,2,30.295701,59.849212,1373.75
208,Бассейная,83,30.349564,59.864548,Кузнецовская,25,30.332577,59.87143199999999,379.0
209,Бассейная,83,30.349564,59.864548,Литейный просп.,56,30.349456,59.935069999999996,1831.5
210,Бассейная,83,30.349564,59.864548,Луначарского пр.,47,30.360164,60.036281,4155.875
211,Бассейная,83,30.349564,59.864548,Льва Толстого,6/8,30.321859999999997,59.965309,2939.25
212,Бассейная,83,30.349564,59.864548,Народная,21,30.468124,59.879137,1212.375
213,Бассейная,83,30.349564,59.864548,Оптиков,54,30.199033,60.000713,3706.5
214,Бассейная,83,30.349564,59.864548,Сестрорецк. ул. Борисова,д. 9,29.969890999999997,60.102212,4620.25
215,Бассейная,83,30.349564,59.864548,Солидарности просп.,4,30.490114000000002,59.92828000000001,2270.125
216,Бассейная,83,30.349564,59.864548,Учебный пер.,5,30.336763,60.037252,4261.375
217,Бассейная,83,30.349564,59.864548,наб. реки Фонтанки,154,30.28255,59.915765,1468.125
218,Белградская,10к1,30.360091999999998,59.868311,Большой просп. ВО,85,30.250614000000002,59.930178000000005,2462.125
219,Белградская,10к1,30.360091999999998,59.868311,Будапештская,3,30.36382,59.873704000000004,615.0
220,Белградская,10к1,30.360091999999998,59.868311,Вавиловых,14,30.390563,60.024752,4295.5
221,Белградская,10к1,30.360091999999998,59.868311,Динамо пр.,3,30.279864,59.972699,2766.0
222,Белградская,10к1,30.360091999999998,59.868311,Загородный просп.,47,30.321195,59.921804,1052.0
223,Белградская,10к1,30.360091999999998,59.868311,Костюшко,2,30.295701,59.849212,1848.25
224,Белградская,10к1,30.360091999999998,59.868311,Кузнецовская,25,30.332577,59.87143199999999,734.875
225,Белградская,10к1,30.360091999999998,59.868311,Литейный просп.,56,30.349456,59.935069999999996,2057.0
226,Белградская,10к1,30.360091999999998,59.868311,Луначарского пр.,47,30.360164,60.036281,4409.5
227,Белградская,10к1,30.360091999999998,59.868311,Льва Толстого,6/8,30.321859999999997,59.965309,3179.125
228,Белградская,10к1,30.360091999999998,59.868311,Народная,21,30.468124,59.879137,1421.375
229,Белградская,10к1,30.360091999999998,59.868311,Оптиков,54,30.199033,60.000713,4018.875
230,Белградская,10к1,30.360091999999998,59.868311,Сестрорецк. ул. Борисова,д. 9,29.969890999999997,60.102212,4924.75
231,Белградская,10к1,30.360091999999998,59.868311,Солидарности просп.,4,30.490114000000002,59.92828000000001,2449.25
232,Белградская,10к1,30.360091999999998,59.868311,Учебный пер.,5,30.336763,60.037252,4498.75
233,Белградская,10к1,30.360091999999998,59.868311,наб. реки Фонтанки,154,30.28255,59.915765,1651.25
234,Белы Куна,2к1,30.373711,59.869399,Большой просп. ВО,85,30.250614000000002,59.930178000000005,2613.75
235,Белы Куна,2к1,30.373711,59.869399,Будапештская,3,30.36382,59.873704000000004,548.875
236,Белы Куна,2к1,30.373711,59.869399,Вавиловых,14,30.390563,60.024752,3656.625
237,Белы Куна,2к1,30.373711,59.869399,Динамо пр.,3,30.279864,59.972699,2882.5
238,Белы Куна,2к1,30.373711,59.869399,Загородный просп.,47,30.321195,59.921804,1204.0
239,Белы Куна,2к1,30.373711,59.869399,Костюшко,2,30.295701,59.849212,1985.25
240,Белы Куна,2к1,30.373711,59.869399,Кузнецовская,25,30.332577,59.87143199999999,876.25
241,Белы Куна,2к1,30.373711,59.869399,Литейный просп.,56,30.349456,59.935069999999996,2102.875
242,Белы Куна,2к1,30.373711,59.869399,Луначарского пр.,47,30.360164,60.036281,3794.75
243,Белы Куна,2к1,30.373711,59.869399,Льва Толстого,6/8,30.321859999999997,59.965309,3213.75
244,Белы Куна,2к1,30.373711,59.869399,Мечникова пр.,27,30.410891999999997,59.986982999999995,2669.75
245,Белы Куна,2к1,30.373711,59.869399,Народная,21,30.468124,59.879137,1219.875
246,Белы Куна,2к1,30.373711,59.869399,Оптиков,54,30.199033,60.000713,4047.625
247,Белы Куна,2к1,30.373711,59.869399,Пискаревский просп.,47,30.431328999999998,59.983422999999995,2524.875
248,Белы Куна,2к1,30.373711,59.869399,Сестрорецк. ул. Борисова,д. 9,29.969890999999997,60.102212,4953.625
249,Белы Куна,2к1,30.373711,59.869399,Солидарности просп.,4,30.490114000000002,59.92828000000001,2256.875
250,Белы Куна,2к1,30.373711,59.869399,Учебный пер.,5,30.336763,60.037252,4511.25
251,Белы Куна,2к1,30.373711,59.869399,наб. реки Фонтанки,154,30.28255,59.915765,1809.125
252,Богатырский пр.,31,30.244263,60.003201000000004,Большой просп. ВО,85,30.250614000000002,59.930178000000005,2355.125
253,Богатырский пр.,31,30.244263,60.003201000000004,Будапештская,3,30.36382,59.873704000000004,3500.25
254,Богатырский пр.,31,30.244263,60.003201000000004,Вавиловых,14,30.390563,60.024752,1931.375
255,Богатырский пр.,31,30.244263,60.003201000000004,Динамо пр.,3,30.279864,59.972699,1504.5
256,Богатырский пр.,31,30.244263,60.003201000000004,Загородный просп.,47,30.321195,59.921804,2334.125
257,Богатырский пр.,31,30.244263,60.003201000000004,Костюшко,2,30.295701,59.849212,4728.25
258,Богатырский пр.,31,30.244263,60.003201000000004,Кузнецовская,25,30.332577,59.87143199999999,4078.875
259,Богатырский пр.,31,30.244263,60.003201000000004,Литейный просп.,56,30.349456,59.935069999999996,1798.875
260,Богатырский пр.,31,30.244263,60.003201000000004,Луначарского пр.,47,30.360164,60.036281,2237.5
261,Богатырский пр.,31,30.244263,60.003201000000004,Льва Толстого,6/8,30.321859999999997,59.965309,1768.0
262,Богатырский пр.,31,30.244263,60.003201000000004,Мечникова пр.,27,30.410891999999997,59.986982999999995,1979.625
263,Богатырский пр.,31,30.244263,60.003201000000004,Народная,21,30.468124,59.879137,2524.25
